device,app_version,device_id,os_version,page,tag,op,udid,stamp
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:33:06
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:33:07
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:33:09
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:33:11
ios,1.1.3,e67ebafd4b80fe54b6c542269a0fd3835d90c4ab,11.2.6,tr_ble,ble_data_download,auto,5024040460120371,2018-06-03 09:33:12
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:33:12
android,1.0.8,e59969de8b2bb95e,26,tr_BLE,ble_data_download,auto,5024040460089011,2018-06-03 09:33:13
android,1.0.8,e59969de8b2bb95e,26,tr_sync_translate,action_end_synctranslate,auto,5024040460089011,2018-06-03 09:33:13
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:33:14
ios,1.1.3,e67ebafd4b80fe54b6c542269a0fd3835d90c4ab,11.2.6,tr_shorthand,online_shorthand_duration,,,2018-06-03 09:33:14
ios,1.1.3,e67ebafd4b80fe54b6c542269a0fd3835d90c4ab,11.2.6,tr_init,cancel_connection,click,,2018-06-03 09:33:16
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460154861,2018-06-03 09:33:17
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460160711,2018-06-03 09:33:17
android,1.0.8,daaaa835de54b24e,25,tr_BLE,ble_data_download,auto,5024040460160711,2018-06-03 09:33:18
android,1.0.8,e59969de8b2bb95e,26,tr_home,click_translate_dialog,click,5024040460089011,2018-06-03 09:33:18
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:33:19
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,action_created_dialog,auto,5024040460160711,2018-06-03 09:33:20
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:33:20
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460160711,2018-06-03 09:33:25
android,1.0.8,daaaa835de54b24e,25,tr_BLE,ble_data_download,auto,5024040460160711,2018-06-03 09:33:25
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460154861,2018-06-03 09:33:27
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,action_created_dialog,auto,5024040460160711,2018-06-03 09:33:27
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:33:28
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:33:30
android,1.0.8,e59969de8b2bb95e,26,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460089011,2018-06-03 09:33:32
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460154861,2018-06-03 09:33:34
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:33:35
ios,1.1.3,5acdd1ec37437dbb66cbf787050822ffe8130285,10.3.3,tr_ble,ble_data_download,auto,5024040460072691,2018-06-03 09:33:35
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460160711,2018-06-03 09:33:36
android,1.0.8,daaaa835de54b24e,25,tr_BLE,ble_data_download,auto,5024040460160711,2018-06-03 09:33:36
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:33:37
ios,1.1.3,5acdd1ec37437dbb66cbf787050822ffe8130285,10.3.3,tr_shorthand,online_shorthand_duration,,5024040460072691,2018-06-03 09:33:37
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,action_created_dialog,auto,5024040460160711,2018-06-03 09:33:38
android,1.0.8,e59969de8b2bb95e,26,tr_BLE,ble_data_download,auto,5024040460089011,2018-06-03 09:33:38
